industry,year,market_size,growth_rate,policy_count,investment_amount,penetration_rate
动力电池,2022,6800,0.68,15,3200,0.32
动力电池,2023,10500,0.54,22,4500,0.40
动力电池,2024,15200,0.42,28,5800,0.52
动力电池,2025,18500,0.28,32,6800,0.61
新能源汽车,2022,36800,0.95,18,8500,0.256
新能源汽车,2023,52000,0.41,25,11000,0.356
新能源汽车,2024,68000,0.31,30,13500,0.462
新能源汽车,2025,82000,0.21,35,15000,0.550
AI算力,2022,1200,0.45,8,800,0.08
AI算力,2023,1800,0.50,12,1500,0.12
AI算力,2024,3000,0.67,20,3200,0.18
AI算力,2025,4500,0.65,28,5500,0.25
低空经济,2022,3800,0.30,5,200,0.02
低空经济,2023,5500,0.45,12,500,0.04
低空经济,2024,8500,0.55,22,1200,0.08
低空经济,2025,12000,0.41,30,2500,0.12
白酒,2022,6200,0.08,3,300,0.85
白酒,2023,6800,0.10,5,350,0.86
白酒,2024,7500,0.10,6,400,0.87
白酒,2025,8000,0.07,8,450,0.88
光伏,2022,15000,0.55,20,6000,0.15
光伏,2023,21000,0.40,25,7500,0.20
光伏,2024,26000,0.24,28,8000,0.25
光伏,2025,30000,0.15,30,8500,0.30
