company_name,year,revenue,net_profit,gross_margin,net_margin,roe,debt_ratio,market_share
宁德时代,2022,3286,307,0.283,0.093,0.215,0.585,0.372
宁德时代,2023,4009,441,0.275,0.110,0.228,0.562,0.395
宁德时代,2024,5230,612,0.285,0.117,0.245,0.548,0.432
宁德时代,2025,6200,750,0.290,0.121,0.252,0.530,0.450
比亚迪,2022,4241,166,0.170,0.039,0.121,0.658,0.225
比亚迪,2023,6023,300,0.195,0.050,0.168,0.632,0.248
比亚迪,2024,7800,420,0.210,0.054,0.185,0.610,0.275
比亚迪,2025,9500,550,0.218,0.058,0.192,0.595,0.290
亿纬锂能,2022,223,24,0.238,0.108,0.142,0.521,0.042
亿纬锂能,2023,287,32,0.245,0.111,0.158,0.505,0.048
亿纬锂能,2024,382,48,0.252,0.126,0.178,0.488,0.055
亿纬锂能,2025,500,68,0.258,0.136,0.190,0.470,0.062
国轩高科,2022,186,18,0.195,0.097,0.098,0.612,0.032
国轩高科,2023,235,25,0.202,0.106,0.112,0.595,0.035
国轩高科,2024,282,32,0.210,0.113,0.125,0.580,0.038
国轩高科,2025,350,42,0.215,0.120,0.138,0.565,0.040
中创新航,2022,142,11,0.178,0.077,0.078,0.645,0.025
中创新航,2023,185,15,0.185,0.081,0.088,0.628,0.028
中创新航,2024,256,22,0.192,0.086,0.102,0.605,0.032
中创新航,2025,320,30,0.198,0.094,0.115,0.590,0.035
